source,line,function,ncalls,tottime,cumtime,run,backend
solution_clean_pennylane.py,176,MatGenerator,1,5.000000000000001e-07,5.000000000000001e-07,5,Danny
solution_clean_qiskit.py,246,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,2,Danny
solution_clean_qiskit.py,75,get_matrix_U,1,4.0000000000000003e-07,4.0000000000000003e-07,5,Danny
solution_clean_qiskit.py,75,get_matrix_U,1,4.0000000000000003e-07,4.0000000000000003e-07,1,Danny
solution_clean_pennylane.py,68,get_matrix_V,1,4.0000000000000003e-07,4.0000000000000003e-07,5,Danny
solution_clean_pennylane.py,177,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,5,Danny
solution_clean_pennylane.py,177,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,3,Danny
solution_clean_pennylane.py,177,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,1,Danny
solution_clean_qiskit.py,78,get_matrix_V,1,4.0000000000000003e-07,4.0000000000000003e-07,2,Danny
solution_clean_pennylane.py,176,MatGenerator,1,4.0000000000000003e-07,4.0000000000000003e-07,3,Danny
solution_clean_pennylane.py,65,get_matrix_U,1,4.0000000000000003e-07,4.0000000000000003e-07,1,Danny
solution_clean_qiskit.py,246,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,1,Danny
solution_clean_qiskit.py,246,__init__,1,4.0000000000000003e-07,4.0000000000000003e-07,3,Danny
solution_clean_pennylane.py,176,MatGenerator,1,4.0000000000000003e-07,4.0000000000000003e-07,1,Danny
solution_clean_pennylane.py,68,get_matrix_V,1,4.0000000000000003e-07,4.0000000000000003e-07,4,Danny
solution_clean_pennylane.py,176,MatGenerator,1,4.0000000000000003e-07,4.0000000000000003e-07,2,Danny
solution_clean_qiskit.py,78,get_matrix_V,1,3.0000000000000004e-07,3.0000000000000004e-07,5,Danny
solution_clean_qiskit.py,246,__init__,1,3.0000000000000004e-07,3.0000000000000004e-07,4,Danny
solution_clean_pennylane.py,177,__init__,1,3.0000000000000004e-07,3.0000000000000004e-07,4,Danny
solution_clean_qiskit.py,78,get_matrix_V,1,3.0000000000000004e-07,3.0000000000000004e-07,1,Danny
solution_clean_pennylane.py,65,get_matrix_U,1,3.0000000000000004e-07,3.0000000000000004e-07,5,Danny
solution_clean_pennylane.py,65,get_matrix_U,1,3.0000000000000004e-07,3.0000000000000004e-07,3,Danny
solution_clean_pennylane.py,65,get_matrix_U,1,3.0000000000000004e-07,3.0000000000000004e-07,4,Danny
solution_clean_pennylane.py,68,get_matrix_V,1,3.0000000000000004e-07,3.0000000000000004e-07,2,Danny
solution_clean_pennylane.py,177,__init__,1,3.0000000000000004e-07,3.0000000000000004e-07,2,Danny
solution_clean_qiskit.py,78,get_matrix_V,1,2.0000000000000002e-07,2.0000000000000002e-07,4,Danny
solution_clean_pennylane.py,68,get_matrix_V,1,2.0000000000000002e-07,2.0000000000000002e-07,1,Danny
solution_clean_pennylane.py,68,get_matrix_V,1,1.0000000000000001e-07,1.0000000000000001e-07,3,Danny
solution_clean_qiskit.py,1,<module>,1,0.0001234,20422.8910909,1,Fran
solution_clean_qiskit.py,98,train,1,0.0237242,20419.8399041,1,Fran
